($ millions),Canadian Banking,International Banking,Global Wealth Management,Global Banking and Markets,Other,Total
Reported net income (loss),"$1,055",$657,356 $,$401,$-323,"$2,146"
$Net income attributable to non-controlling interests in subsidiaries (NCI),–,$21,$3,–,–,$24
Reported net income attributable to equity holders,"$1,055",$636,$353,$401,$-323,"$2,122"
Reported net income attributable to preferred shareholders and other equity instrument holders,$1,$1,$1,$1,$100,$104
Reported net income attributable to common shareholders,"$1,054",$635,352 $,$400,$-423,"$2,018"
$Adjusting items impacting non-interest expenses (Pre-tax) $Amortization of acquisition-related intangible assets,$1,$11,$9,–,–,$21
$Total non-interest expenses adjustments (Pre-tax),$1,$11,$9,–,–,$21
Total impact of adjusting items on net income before taxes,$1,$11,$9,–,–,$21
Impact of adjusting items on income tax expense,–,$-3,$-3,–,–,$-6
Total impact of adjusting items on net income,$1,$8,$6,–,–,$15
Total impact of adjusting items on net income attributable to equity holders and common shareholders,$1,$8,$6,–,–,$15
Adjusted net income (loss),"$1,056",$665,362 $,$401,$-323,"$2,161"
Adjusted net income attributable to equity holders,"$1,056",$644,359 $,$401,$-323,"$2,137"
Adjusted net income attributable to common shareholders,"$1,055",$643,358 $,$400,$-423,"$2,033"
