($ millions),Canadian Banking,International Banking,Global Wealth Management,Global Banking and Markets,Other,Total
Reported net income (loss),"$1,095",$ 768,$ 371 $,$439,$-474,"$2,199"
$Net income attributable to non-controlling interests in subsidiaries (NCI),–,$22,$3,–,–,$25
Reported net income attributable to equity holders,"$1,095",$746,$368,$439,$-474,"$2,174"
Reported net income attributable to preferred shareholders and other equity instrument holders,$1,$1,–,$1,$105,$108
Reported net income attributable to common shareholders,"$1,094",$ 745,$ 368 $,$438,$-579,"$2,066"
$Adjusting items impacting non-interest expenses (Pre-tax) $Amortization of acquisition-related intangible assets,$1,$8,$9,–,–,$18
$Total non-interest expenses adjustments (Pre-tax),$1,$8,$9,–,–,$18
Total impact of adjusting items on net income before taxes,$1,$8,$9,–,–,$18
Impact of adjusting items on income tax expense,–,$-2,$-3,–,–,$-5
Total impact of adjusting items on net income,$1,$6,$6,–,–,$13
Total impact of adjusting items on net income attributable to equity holders and common shareholders,$1,$6,$6,–,–,$13
Adjusted net income (loss),"$1,096",$ 774,$ 377 $,$439,$-474,"$2,212"
Adjusted net income attributable to equity holders,"$1,096",$ 752,$ 374 $,$439,$-474,"$2,187"
Adjusted net income attributable to common shareholders,"$1,095",$ 751,$ 374 $,$438,$-579,"$2,079"
